CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50059360,WENDY'S RESTAURANT #108,Staten Island,25,PUTNAM STREET,10312
50058025,HAPPY WOK,Brooklyn,762,FRANKLIN AVENUE,11238
40685734,TOAST,Manhattan,3157,BROADWAY,10027
40612118,STARBUCKS,Manhattan,825,8 AVENUE,10019
50086854,CROSSFIT SPOT,Manhattan,55,AMSTERDAM AVENUE,10023
50037912,BORINQUENYA DELI RESTAURANT,Brooklyn,5505,4 AVENUE,11220
50105594,HIBISCUS BREW,Brooklyn,546,FLATBUSH AVENUE,11225
41459621,GINO'S BRICK OVEN PIZZA & TRATTORIA,Brooklyn,548550,FLATBUSH AVENUE,
50084600,KING WOK,Manhattan,222,VARICK STREET,10014
40790307,STARBUCKS,Manhattan,685,3 AVENUE,10017
50008811,BOOBIETRAP,Brooklyn,308,BLEECKER STREET,11237
50016600,SUBWAY,Bronx,837,HUTCHINSON RIVER PARKWAY,10465
41367922,FASHION INSTITUTE OF TECHNOLOGY DAVID DUBINSKY STUDENT CENTER,Manhattan,227,WEST   27 STREET,10001
50074370,LA ESQUINA DE NAGUA,Manhattan,2244,AMSTERDAM AVENUE,10032
50096408,ROYAL GARDEN TBILISI,Brooklyn,230,KINGS HIGHWAY,11223
50078228,PAPA JOHN'S PIZZA,Queens,19318,NORTHERN BLVD,11358
50042945,9TEN RESTAURANT,Manhattan,910,7 AVENUE,10019
